id,name,album,artist,disk number,track number
1,Mellon Collie and the Infinite Sadness (instrumental),Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,1
2,"Tonight, Tonight",Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,2
3,Jellybelly,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,3
4,Zero,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,4
5,Here Is No Why,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,5
6,Bullet With Butterfly Wings,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,6
7,To Forgive,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,7
8,Fuck You (An Ode to No One),Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,8
9,Love,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,9
10,Cupid de Locke,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,10
11,Galapogos,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,11
12,Muzzle,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,12
13,Porcelina of the Vast Oceans,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,13
14,Take Me Down,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,1,14
15,Where Boys Fear to Tread,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,2,1
16,Bodies,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,2,2
17,Thirty-Three,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,2,3
18,In the Arms of Sleep,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,2,4
19,1979,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,2,5
20,Tales of a Sorched Earth,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,2,6
21,Thru the Eyes of Ruby,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,2,7
22,Stumbleine,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,2,8
23,X.Y.U.,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,2,9
